geography_id,area,city,region
G001,الدقى,الجيزة,القاهرة الكبرى
G002,فيصل,الجيزة,القاهرة الكبرى
G003,امبابه,الجيزة,القاهرة الكبرى
G004,بشتيل,الجيزة,القاهرة الكبرى
G005,ارض اللواء,الجيزة,القاهرة الكبرى
G006,الوراق,الجيزة,القاهرة الكبرى
G007,الجلاتمه,الجيزة,القاهرة الكبرى
G008,الهرم,الجيزة,القاهرة الكبرى
G009,المهندسين,الجيزة,القاهرة الكبرى
G010,السيدة زينب,القاهرة,القاهرة الكبرى
G011,دار السلام,القاهرة,القاهرة الكبرى
G012,حدائق الاهرام,الجيزة,القاهرة الكبرى
G013,الكونيسه,الجيزة,القاهرة الكبرى
G014,اللبيني,الجيزة,القاهرة الكبرى
G015,القطامية,القاهرة,القاهرة الكبرى
G016,حدائق اكتوبر,الجيزة,القاهرة الكبرى
G017,غير محدد,غير محدد,غير محدد
G018,برطس,الجيزة,القاهرة الكبرى
G019,الرحاب,القاهرة,القاهرة الكبرى
G020,العمرانية,الجيزة,القاهرة الكبرى
G021,البراجيل,الجيزة,القاهرة الكبرى
G022,المعتمديه,الجيزة,القاهرة الكبرى
G023,الطوابق,الجيزة,القاهرة الكبرى
G024,ام المصريين,الجيزة,القاهرة الكبرى
G025,المقطم,القاهرة,القاهرة الكبرى
G026,كرداسه,الجيزة,القاهرة الكبرى
G027,بولاق الدكرور,الجيزة,القاهرة الكبرى
G028,كفرطهرمس,الجيزة,القاهرة الكبرى
G029,شبرا,القاهرة,القاهرة الكبرى
G030,المعادى,القاهرة,القاهرة الكبرى
G031,صفط اللبن,الجيزة,القاهرة الكبرى
G032,حلوان,القاهرة,القاهرة الكبرى
G033,مصر القديمة,القاهرة,القاهرة الكبرى
G034,العجوزة,الجيزة,القاهرة الكبرى
G035,المنيرة,القاهرة,القاهرة الكبرى
