global_prod_id,product_name
P0001,سيبروسين مرهم
P0002,سيبروسين نقط
P0003,اوركاسين نقط*
P0004,نيوبول نقط
P0005,تيراميسين مرهم  س ج
P0006,جاراميسين مرهم
P0007,ميزوسيبت 1مل 1امبول  س ق/سيد
P0008,بولى فريش قطرة س ج/اوركيديا
P0009,بيفاتراسين سبراى 150مل س ج/اكديما
P0010,اسماتروبيم 500م بديل اتروفنت س ج
P0011,سوبراكس 400مج 5ك س ج/حكمة
P0012,ديبوفيت ب12(1مج/مل) 5امبول  س ج/العامرية
P0013,ديفارول اس (200000و) 1امبول س ج /ممفيس
P0014,سرنجات الاسبانية 10سم
P0015,شاش المحلة فيرست 5سم 20ق
P0016,سرنجات الدولية 50سم سن
P0017,سرنجات ديكسى 5سم كبار بسنين 100س
P0018,رينوبرو شراب 90مل  س ق/اكتوبر
P0019,فولتارين اقماع  100مجم س ج/نوفارتس
P0020,باراسيتامول 500مج  20ق س ج/النصر
P0021,اتورستات 10مج 14ق س ج/دلتا فارم
P0022,كيتولاك 5امبول(30مج/2مل) س ج/العامرية
P0023,كولونا 30ق س ج/راميدا
P0024,فلوموكس 1جم 1فيال /ابيكو
P0025,ديسبروديرم كريم
P0026,افيفافاسك 160/5مج 28ق  س ق/ماركيرل
P0027,بانادول ادفانس 4 شرايط س ج/الاسكندرية
P0028,فينتوكف (سكر)شراب125مل س ج/جراند
P0029,ايزاكارد 75مج 30ق س ج/ابيكس
P0030,تادالونج20مجم4قرص س ج/الاندلس
P0031,اوتريفين كبار1% نقط أنف س ج/جلاكسو
P0032,باى الكوفان 150م(3ش) س ج/الاسكندرية
P0033,راميكسول 1مج 30ق س ج/ايفا
P0034,اريك 100مج 12ق  س ق/ادويا
P0035,اتروزيمب10/40مجم30قرص/ليبيتس
P0036,سيتيال محلول رغوي مطهر250مل  س ق/المهن
P0037,ليت اب كريم 50جم  س ق/ماكرو
P0038,فيروجلوبين 30ك /فيتابيوتكس
P0039,زيثروماكس 500 مج 3ك س ق /فايزر
P0040,نيزابكس 2% شامبو 80مل س ج/ابيكس
P0041,الليرديب بخاخ100مجم/65مللى
P0042,ابى دينيترا 10 مج  ق/ابيكو
P0043,انافرونيل 25مج 30ق س ق/نوفارتس
P0044,ايزيس تيليو 12 فلتر/ايزيس
P0045,بانتوبرازول 40 ق  س ق/الفرعونية
P0046,بيبزول 20مج 14ك س ج /حكمة
P0047,يو ريتشى بانثينول كريم 20جم  س ق
P0048,اماريل 2مج 30ق س ج/سانوفي افنتس
P0049,سيكودال 1مج 30ق س ج/دلتا
P0050,سيبرو 500مج 10ق س ج/ممفيس
P0051,بيدريمين 50 مج 30قرص س ج/ماش
P0052,سيريلاك قمح ساده كبير 250جم
P0053,اوميز 20مج 14ك س ج/الفرعونية
P0054,سيدرال فوليك 20كيس/الاسراء
P0055,اسبوسيد اطفال30ق مضغ س ج/سيد
P0056,زيرتك 10مج20ق س ج/جلاكسو
P0057,اوبلكس ان شراب 125مل س ج/العامرية
P0058,راميسفتراكس 1جم 1فيال جديد عضل  س ج/راميدا
P0059,ديكلاك 75مج 20ق س ج/مينافارم
P0060,بيوفيت 12 ديبو 2امبول س ج/المهن
P0061,رينال اس فوار 12كيس س ج/ الفرعونية
P0062,بينوكس قطرة 0.4% 10مل س ج/ابيكو
P0063,بانادول اكيوت هيت كولد س ج
P0064,كونجيستال شراب 120مل س ج/سيجما
P0065,كالسيونات 6أمبول 10مل س ج/ممفيس
P0066,ليمتلس اوميجا  3 س ق/ايفا
P0067,ويلينتا 150مجم اس ار اقراص
P0068,لارى برو 20ق س ج/اكتوبر
P0069,جى سى مول فوار 6أكياس س ج/فاركو
P0070,جلوكوفاج 1000 30ق س ج/مينا فارم
P0071,اميولانت شراب 120مل س ج/ميباكو
P0072,فورتيموكس 0.5% قطرة 10مل س ج/اوركيديا
P0073,جلوكوفاج 500مج50ق س ج/مينافارم
P0074,اتوريزا 20/10مج  21ق س ج/ماركيرل
P0075,ليفسيت 5مج 20ق س ج/ماركيرل
P0076,دوروفين 30ك س ج/ميديزن لــ ليبيتس
P0077,اتوريزا 40/10 مج س ج/ماركيرل
P0078,سيروبيب شامبو س ج/بارك فيل
P0079,نوتوسيل شراب 120مل س ج/كيميفارم
P0080,سيروبيب بلسم كونديشنير س ق/بارك فيل
P0081,سيروبيب سبراى  س ق/بارك فيل
P0082,ميثيل فولات 30 كبسوله س ج/اوركيديا
P0083,سيروبيب هير سيرم/بارك فيل
P0084,ايفروسبان شراب 100مل س ج/ماركيرل
P0085,سيروبيب هير ماسك س ج/بارك فيل
P0086,سليبركس 200مج 10ك س ج/فايزر
P0087,لبن نيستوجين2  400جم/نستلة
P0088,دالاسين سى 300مج10ك س ج/فايزر
P0089,سيروبيب امبول س ج/بارك فيل
P0090,لبن بيدياميل ايه سى
P0091,اختبار حمل بيبى تشيك/ميديكم ايجيبت
P0092,موبيتيل 15مج 10ق  س ق/المهن
P0093,كورسودين محلول للفم(نعناع) 30مل/افانو
P0094,كارباميد كريم50جم س ج/ماكرو
P0095,كارباميد كريم 30جم/نوفكس
P0096,لازيلاكتون 20/100م30ق  س ق/سانوفي افنتس
P0097,يونيكتام 1500مج 1فيال س ق/المهن
P0098,نورفاسك 5مج 30ق  س ق/فايزر
P0099,ماكسيلاز شراب 100مل س ج/سانوفى افنتس
P0100,كالدين زنك شراب/الاسراء
P0101,0فنتولين شراب (عادي) س ق
P0102,هيستازين1 شراب(5مج) 100مل س ج/العامرية
P0103,فليبوتون 3أمبول/مينافارم
P0104,بنتامكس شراب 120مل س ج/الدبيكى
P0105,فليكس 50مكجم بخاخ للأنف16جم س ج/ايفا
P0106,بروفين 600مج30ق س ج/ابوت
P0107,اماريل 3مج 30ق س ج/سانوفي افنتس
P0108,كتافلام 50مج 20ق س ج/نوفارتس
P0109,موفيليكس ادفانس كبسول س ق
P0110,ميلجا ادفانس30ق س ج/ايفا
P0111,سيلفر سيز 550مج20ك س ج/العربيةالجيلاتينية
P0112,اوجمنتين اى سى600شرب75مل س ج/المهن
P0113,جينوفيل 50ق اورجينال /ايفا
P0114,ريجين 5% فوم 60 جم
P0115,يوريفين فوار 10أكياس س ج/امون
P0116,ديكاديل شراب/الدلتا
P0117,مارفيتنس 12.5/5/40مج 30ق/ايفا
P0118,كاست 10مج 10ق/حكمة
P0119,توبوبرازان 20 مجم 14ق
P0120,نابيزول 20مج 14ك س ج/جلوبال نابى
P0121,سيدرال اكتيف اكياس 15كيس س ج/الاسراء
P0122,اليكا ام  كريم 30جم س ج/جمجوم
P0123,توسيستوب شراب100م س ج/الدلتا للتجاره
P0124,ميلجا 40ق س ج/ايفا
P0125,كالسيترون30ك س ق/نيرهادو
P0126,انتوبرال40مج 14ق/نوفارتس س ق(ساندوز
P0127,اندوبوكستين60مجم 6ق  س ق/ الاندلس
P0128,ايفى زاد شراب /سيف لايف
P0129,زنك اوريجين 10مج شراب 120مل/اوريجين
P0130,زيثرون شراب(200مج/5مل)25مل س ج/امون
P0131,زيسروسين 100مج شراب30مل س ج/ايجيفار
P0132,اوجمنتين 1جم 14ق  س ج/المهن لــ جلاكسو
P0133,يوريبان شراب (100مج/100مل)  س ق/ادويا
P0134,هيموجيت شراب(50مج) 100مل  س ق/العامرية
P0135,كير باى كير بلس كريم ماكرو
P0136,بانثينول كريم  2% 15جم  س ج/النيل
P0137,برادوزين اقراص استحلاب  س ج
P0138,اريكتاماكس 20مج4ق/ساجا
P0139,روتا هيلكس نايت شراب  س ق/ايجى فارما
P0140,شوما كريم  س ج /سيف لايف
P0141,بيتادين غسول فم وغرغرة 1%120م/النيل
P0142,هاى فريش 0.2% قطرة 10مل س ج/جمجوم
P0143,فيتالوشوك 5جم 10 اكياس/ميدكير
P0144,ديامونريكتا 20مج 4ق س ج/ايفا
P0145,سينومارين مينى  30مل
P0146,جينيرا 21ق س ج/سوفيكو
P0147,لانتوس سولوستار 5قلم /ثلاجة س ج/سانوفي
P0148,تى فور ثيرو 50مجم 100قرص بديل التروكسين س ق
P0149,ميوكو اس ار 75مج20ك س ج/جلوبال نابي
P0150,ماركال 700مج 30ق س ج/ماركيرل
P0151,مالتى ريلاكس 5مج 20ق س ج/ابيكس
P0152,فوناسبير20م اقراص س ج
P0153,باروكستين25 مج سي ار 30 ق س ج/ايفا
P0154,زيسروسين 500مج 3ك س ج/ايجيفار
P0155,بريجنافيكس ك س ج
P0156,الوندا 0.5مج 2ق س ج/جلوب انترناشونال
P0157,ترينسيديا 550مج 10ق/ماركيرل
P0158,سبازموفين 3أمبول س ج/العامرية
P0159,كونكور 5مج (عادي)30ق س ج/امون
P0160,تارجوفلوكسين750مج 10 ق  س ج/جلوبال
P0161,فونسيكا20مجم  14 ق  س ج
P0162,اوكاربون 30ق س ج/سيديكو
P0163,جوسبرين اقراص3شرايط س ج/جلفار
P0164,ايراستابكس تريو40م/10مج/25م  س ج/ابيكس
P0165,كونترولوك 1فيال س ج/تاكيدا
P0166,اوستيوكير 30ق س ج/فيتابيوتكس
P0167,ريكوكسيبرايت 90مجم 30ق س ج/برايت لايف
P0168,اتور 40مج 10ق  س ق/ابيكو
P0169,بديكورت5مج شراب 100مل س ج/الاسراء
P0170,فيجاموكس 0.5% قطرة 5مل  س ق/الكون
