transaction_id,invoice_id,supplier_id,global_prod_id,global_account_id,global_employee_id,geography_id,quantity,discount,total_amount,creation_date,created_at
48652728,32259,59,P0001,C0582,E001,G001,10,15.0,178.5,2025-05-25 13:43:10,2026-05-19 16:29:03
48652935,32281,59,P0001,C0386,E001,G002,3,15.0,53.55,2025-05-25 14:35:04,2026-05-19 16:29:03
48653089,32301,59,P0001,C0581,E002,G003,2,21.0,33.18,2025-05-25 15:21:21,2026-05-19 16:29:03
48653301,32334,59,P0001,C0244,E002,G004,5,20.0,84.0,2025-05-25 20:49:54,2026-05-19 16:29:03
49140754,100804,59,P0001,C0582,E001,G001,10,17.0,174.3,2026-04-12 13:51:32,2026-05-19 16:47:49
49169399,104864,59,P0001,C0255,E003,G005,1,15.0,17.85,2026-05-11 11:18:32,2026-05-19 16:48:46
49170517,105016,59,P0001,C0376,E004,G006,2,18.0,34.44,2026-05-12 13:47:08,2026-05-19 16:48:48
49176269,105771,59,P0001,C0430,E005,G002,1,18.0,17.22,2026-05-17 00:12:02,2026-05-19 16:48:57
49482505,106514,59,P0001,C0403,E001,G002,2,18.0,34.44,2026-05-23 12:21:04,2026-05-23 13:21:05
48540334,16956,59,P0002,C0299,E006,G007,3,26.0,46.62,2025-03-30 11:33:49,2026-05-19 16:25:29
48553870,18610,59,P0002,C0528,E002,G006,1,25.0,15.75,2025-04-06 01:01:37,2026-05-19 16:25:51
48568025,20551,59,P0002,C0511,E007,G006,2,24.0,31.92,2025-04-13 11:21:58,2026-05-19 16:26:22
48570665,20925,59,P0002,C0260,E006,G002,5,25.0,78.75,2025-04-14 15:02:17,2026-05-19 16:26:27
48580094,22189,59,P0002,C0387,E003,G004,1,25.0,15.75,2025-04-19 10:35:03,2026-05-19 16:26:42
48585855,22986,59,P0002,C0307,E008,G008,3,22.0,49.14,2025-04-22 10:24:44,2026-05-19 16:26:52
48587240,23221,59,P0002,C0537,E001,G002,3,25.0,47.25,2025-04-22 02:26:29,2026-05-19 16:26:53
48589203,23506,59,P0002,C0372,E001,G009,5,26.0,77.7,2025-04-23 01:14:49,2026-05-19 16:26:57
48599826,24926,59,P0002,C0248,E008,G008,1,25.0,15.75,2025-04-29 09:22:13,2026-05-19 16:27:17
48600295,25007,59,P0002,C0277,E005,G010,5,24.0,79.8,2025-04-29 12:45:26,2026-05-19 16:27:17
48626500,28674,59,P0002,C0253,E004,G011,1,24.0,15.96,2025-05-12 09:45:46,2026-05-19 16:28:09
48747113,45711,59,P0002,C0412,E007,G012,4,25.0,63.0,2025-07-17 09:40:49,2026-05-19 16:32:21
48779460,50493,59,P0002,C0346,E002,G004,3,25.0,47.25,2025-08-03 00:05:44,2026-05-19 16:33:29
48794105,52641,59,P0002,C0296,E006,G013,1,26.0,15.54,2025-08-12 14:44:46,2026-05-19 16:34:01
48911101,69397,59,P0002,C0571,E004,G014,2,29.0,29.82,2025-10-23 12:36:40,2026-05-19 16:38:44
48974607,77779,59,P0002,C0491,E005,G015,1,28.0,15.12,2025-12-02 10:22:29,2026-05-19 16:41:54
48985344,79225,59,P0002,C0555,E005,G006,1,28.0,15.12,2025-12-09 13:32:27,2026-05-19 16:42:13
49008858,82373,59,P0002,C0239,E002,G016,1,28.0,15.12,2025-12-24 02:13:23,2026-05-19 16:43:09
49030404,85281,59,P0002,C0453,E002,G017,2,29.0,29.82,2026-01-09 15:32:15,2026-05-19 16:43:54
49041338,86867,59,P0002,C0253,E006,G011,1,26.0,15.54,2026-01-18 14:00:24,2026-05-19 16:44:21
49047338,87702,59,P0002,C0241,E005,G008,2,29.0,29.82,2026-01-22 01:29:02,2026-05-19 16:44:31
49057571,89276,59,P0002,C0534,E009,G002,12,28.0,181.44,2026-01-30 19:03:22,2026-05-19 16:44:57
49074890,91787,59,P0002,C0555,E005,G006,1,28.0,15.12,2026-02-14 14:48:43,2026-05-19 16:45:25
49077566,92192,59,P0002,C0544,E002,G006,1,26.0,15.54,2026-02-16 22:41:08,2026-05-19 16:45:30
49081070,92685,59,P0002,C0294,E004,G018,1,26.0,15.54,2026-02-19 14:58:10,2026-05-19 16:45:35
49095467,94606,59,P0002,C0397,E005,G016,5,29.0,74.55,2026-03-03 11:50:54,2026-05-19 16:46:09
49099352,95155,59,P0002,C0588,E002,G002,2,29.0,29.82,2026-03-06 12:32:15,2026-05-19 16:46:15
49100102,95258,59,P0002,C0300,E004,G017,2,26.0,31.08,2026-03-07 09:46:08,2026-05-19 16:46:15
49108044,96349,59,P0002,C0293,E002,G016,1,28.0,15.12,2026-03-13 01:07:48,2026-05-19 16:46:37
49121364,98053,59,P0002,C0374,E003,G012,1,26.0,15.54,2026-03-26 16:09:49,2026-05-19 16:47:08
49124012,98400,59,P0002,C0261,E005,G002,1,28.0,15.12,2026-03-28 23:23:05,2026-05-19 16:47:12
49176285,105772,59,P0002,C0430,E005,G002,1,29.0,14.91,2026-05-17 00:16:31,2026-05-19 16:48:57
49360261,106320,59,P0002,C0397,E005,G016,1,28.0,15.12,2026-05-21 00:43:56,2026-05-22 09:21:35
48424705,330,59,P0002,C0452,E001,G019,6,25.0,67.5,2025-01-02 16:16:02,2026-05-19 16:21:14
48425787,461,59,P0002,C0564,E002,G008,2,29.0,21.3,2025-01-03 12:12:54,2026-05-19 16:21:15
48435045,1675,59,P0002,C0465,E002,G003,2,29.0,21.3,2025-01-09 23:24:33,2026-05-19 16:21:30
48435232,1695,59,P0002,C0351,E002,G002,5,29.0,53.25,2025-01-09 00:59:59,2026-05-19 16:21:32
48435612,1737,59,P0002,C0426,E001,G020,2,28.0,21.6,2025-01-10 06:09:33,2026-05-19 16:21:32
48437407,1968,59,P0002,C0474,E001,G013,5,28.0,54.0,2025-01-11 13:41:34,2026-05-19 16:21:43
48444424,3064,59,P0002,C0531,E001,G004,2,30.0,21.0,2025-01-17 12:36:06,2026-05-19 16:22:02
48446492,3355,59,P0002,C0432,E003,G008,3,29.0,31.95,2025-01-19 10:59:21,2026-05-19 16:22:06
48447208,3486,59,P0002,C0345,E003,G004,2,28.0,21.6,2025-01-20 10:15:09,2026-05-19 16:22:07
48451832,4146,59,P0002,C0535,E001,G002,5,29.0,53.25,2025-01-23 23:56:43,2026-05-19 16:22:14
48456397,4860,59,P0002,C0432,E003,G008,2,29.0,21.3,2025-01-28 14:00:58,2026-05-19 16:22:21
48457350,5023,59,P0002,C0593,E007,G008,2,29.0,21.3,2025-01-29 15:12:32,2026-05-19 16:22:23
48458071,5150,59,P0002,C0432,E003,G008,2,29.0,21.3,2025-01-30 12:19:31,2026-05-19 16:22:34
48458890,5273,59,P0002,C0502,E001,G021,3,29.0,31.95,2025-01-31 06:28:02,2026-05-19 16:22:35
48459213,5312,59,P0002,C0594,E002,G003,3,30.0,31.5,2025-01-31 12:42:58,2026-05-19 16:22:35
48461296,5638,59,P0002,C0474,E001,G013,3,29.0,31.95,2025-02-02 14:25:32,2026-05-19 16:22:39
48476708,8017,59,P0002,C0492,E002,G008,4,28.0,43.2,2025-02-15 14:17:40,2026-05-19 16:23:13
48489623,9914,59,P0002,C0501,E001,G002,3,30.0,31.5,2025-02-25 10:59:29,2026-05-19 16:23:43
48495243,10731,59,P0002,C0484,E001,G002,2,30.0,21.0,2025-03-01 01:44:04,2026-05-19 16:24:00
48503122,11852,59,P0002,C0474,E001,G013,5,29.0,53.25,2025-03-07 12:26:28,2026-05-19 16:24:22
48524345,14876,59,P0002,C0253,E005,G011,1,27.0,10.95,2025-03-22 11:31:45,2026-05-19 16:25:02
48531033,15794,59,P0002,C0280,E010,G017,2,28.0,21.6,2025-03-25 19:11:37,2026-05-19 16:25:13
48531648,15864,59,P0002,C0501,E001,G002,3,30.0,31.5,2025-03-26 10:03:58,2026-05-19 16:25:14
48534894,16287,59,P0002,C0498,E011,G021,5,27.0,54.75,2025-03-27 15:34:56,2026-05-19 16:25:19
48538640,16736,59,P0002,C0278,E012,G022,3,29.0,31.95,2025-03-29 11:25:36,2026-05-19 16:25:26
48541263,17063,59,P0002,C0414,E001,G009,1,30.0,10.5,2025-04-01 00:14:32,2026-05-19 16:25:31
48550349,18149,59,P0002,C0502,E011,G021,2,29.0,21.3,2025-04-05 16:39:35,2026-05-19 16:25:45
48552145,18425,59,P0002,C0556,E001,G017,1,30.0,10.5,2025-04-06 14:07:47,2026-05-19 16:25:49
48562971,19864,59,P0002,C0481,E002,G023,2,29.0,21.3,2025-04-10 16:29:01,2026-05-19 16:26:14
48574000,21378,59,P0002,C0251,E008,G024,4,29.0,42.6,2025-04-16 09:56:24,2026-05-19 16:26:32
48583178,22623,59,P0002,C0238,E013,G010,5,27.0,54.75,2025-04-20 16:24:55,2026-05-19 16:26:47
48583477,22666,59,P0002,C0302,E006,G017,3,27.0,32.85,2025-04-20 00:03:23,2026-05-19 16:26:47
48591226,23783,59,P0002,C0586,E001,G009,7,30.0,73.5,2025-04-24 01:18:48,2026-05-19 16:27:03
48595959,24407,59,P0002,C0432,E003,G008,2,29.0,21.3,2025-04-27 12:45:00,2026-05-19 16:27:11
48606154,25816,59,P0002,C0347,E001,G017,3,28.0,32.4,2025-05-02 11:19:08,2026-05-19 16:27:27
48616709,27308,59,P0002,C0258,E013,G025,1,27.0,10.95,2025-05-07 13:40:02,2026-05-19 16:27:44
48631616,29391,59,P0002,C0452,E001,G019,2,27.0,21.9,2025-05-14 16:19:40,2026-05-19 16:28:19
48639024,30423,59,P0002,C0609,E014,G017,1,29.0,10.65,2025-05-18 15:45:50,2026-05-19 16:28:31
48647579,31621,59,P0002,C0586,E001,G009,3,30.0,31.5,2025-05-22 00:43:58,2026-05-19 16:28:54
48647985,31657,59,P0002,C0560,E001,G002,3,30.0,31.5,2025-05-22 05:07:39,2026-05-19 16:28:54
48660070,33222,59,P0002,C0253,E004,G011,2,27.0,21.9,2025-05-29 10:43:24,2026-05-19 16:29:24
48663325,33638,59,P0002,C0282,E008,G025,2,30.0,21.0,2025-05-31 10:10:58,2026-05-19 16:29:34
48672059,34831,59,P0002,C0457,E003,G012,3,29.0,31.95,2025-06-04 09:02:41,2026-05-19 16:29:48
48676375,35368,59,P0002,C0351,E002,G002,2,30.0,21.0,2025-06-07 00:47:02,2026-05-19 16:29:55
48677483,35487,59,P0002,C0496,E015,G002,1,30.0,10.5,2025-06-08 10:24:33,2026-05-19 16:29:57
48687967,37233,59,P0002,C0303,E006,G017,5,27.0,54.75,2025-06-14 10:08:03,2026-05-19 16:30:24
48690552,37627,59,P0002,C0363,E016,G017,2,30.0,21.0,2025-06-15 15:32:17,2026-05-19 16:30:28
48692400,37909,59,P0002,C0450,E001,G008,5,30.0,52.5,2025-06-16 23:38:11,2026-05-19 16:30:31
48699761,38928,59,P0002,C0396,E001,G008,1,30.0,10.5,2025-06-21 11:47:45,2026-05-19 16:30:43
48701673,39181,59,P0002,C0253,E004,G011,3,27.0,32.85,2025-06-22 11:27:50,2026-05-19 16:30:45
48704806,39637,59,P0002,C0356,E001,G026,1,29.0,10.65,2025-06-23 05:08:13,2026-05-19 16:30:52
48716842,41345,59,P0002,C0302,E004,G017,1,27.0,10.95,2025-06-30 14:46:28,2026-05-19 16:31:19
48718245,41547,59,P0002,C0253,E004,G011,2,27.0,21.9,2025-07-01 11:24:50,2026-05-19 16:31:21
48729376,43059,59,P0002,C0542,E007,G002,2,29.0,21.3,2025-07-07 10:58:56,2026-05-19 16:31:40
48731664,43368,59,P0002,C0240,E006,G008,2,28.0,21.6,2025-07-08 10:38:03,2026-05-19 16:31:43
48748005,45886,59,P0002,C0449,E001,G002,3,30.0,31.5,2025-07-17 14:46:53,2026-05-19 16:32:22
48751118,46319,59,P0002,C0502,E011,G021,3,29.0,31.95,2025-07-19 14:01:26,2026-05-19 16:32:28
48755331,46959,59,P0002,C0590,E003,G017,2,29.0,21.3,2025-07-21 00:27:32,2026-05-19 16:32:34
48755590,46988,59,P0002,C0356,E001,G026,2,29.0,21.3,2025-07-22 06:25:14,2026-05-19 16:32:34
48769513,49053,59,P0002,C0595,E003,G012,3,29.0,31.95,2025-07-29 14:41:11,2026-05-19 16:33:07
48770026,49139,59,P0002,C0261,E001,G002,5,28.0,54.0,2025-07-29 23:38:55,2026-05-19 16:33:07
48775453,49887,59,P0002,C0531,E001,G004,1,30.0,10.5,2025-08-01 14:59:51,2026-05-19 16:33:23
48779459,50493,59,P0002,C0346,E002,G004,1,29.0,10.65,2025-08-03 00:05:44,2026-05-19 16:33:29
48799401,53390,59,P0002,C0560,E001,G002,3,18.0,36.9,2025-08-15 10:52:02,2026-05-19 16:34:19
48799795,53429,59,P0002,C0481,E002,G023,2,17.0,24.9,2025-08-15 13:17:52,2026-05-19 16:34:19
48801872,53674,59,P0002,C0503,E002,G004,1,17.0,12.45,2025-08-16 12:26:00,2026-05-19 16:34:23
48811460,55121,59,P0002,C0052,E005,G017,1,17.0,12.45,2025-08-21 13:51:17,2026-05-19 16:34:48
48812900,55304,59,P0002,C0513,E001,G001,1,17.0,12.45,2025-08-22 10:36:30,2026-05-19 16:34:50
48813710,55400,59,P0002,C0351,E002,G002,3,18.0,36.9,2025-08-22 02:18:43,2026-05-19 16:34:52
48813717,55402,59,P0002,C0497,E009,G008,4,17.0,49.8,2025-08-22 04:03:30,2026-05-19 16:34:52
48814117,55463,59,P0002,C0480,E015,G009,2,18.0,24.6,2025-08-23 10:35:44,2026-05-19 16:34:53
48814933,55581,59,P0002,C0606,E002,G012,3,16.0,37.8,2025-08-23 15:15:25,2026-05-19 16:34:54
48845033,59905,59,P0002,C0447,E009,G005,3,27.0,32.85,2025-09-10 00:40:11,2026-05-19 16:36:19
48852322,61054,59,P0002,C0303,E005,G017,7,25.0,78.75,2025-09-15 00:36:51,2026-05-19 16:36:33
48869420,63519,59,P0002,C0312,E002,G017,1,25.0,11.25,2025-09-27 15:01:08,2026-05-19 16:37:28
48870262,63643,59,P0002,C0304,E006,G002,5,25.0,56.25,2025-09-28 10:01:47,2026-05-19 16:37:29
48874553,64259,59,P0002,C0351,E002,G002,3,28.0,32.4,2025-09-30 23:03:29,2026-05-19 16:37:36
48880315,65016,59,P0002,C0582,E001,G001,7,25.0,78.75,2025-10-04 10:36:14,2026-05-19 16:37:46
48894253,67071,59,P0002,C0506,E001,G027,3,28.0,32.4,2025-10-13 10:29:29,2026-05-19 16:38:09
48900953,68018,59,P0002,C0547,E001,G002,2,28.0,21.6,2025-10-17 14:48:23,2026-05-19 16:38:19
48911100,69397,59,P0002,C0571,E004,G014,2,28.0,21.6,2025-10-23 12:36:40,2026-05-19 16:38:44
48911941,69508,59,P0002,C0428,E003,G002,1,32.0,10.2,2025-10-23 15:58:34,2026-05-19 16:38:46
48912355,69563,59,P0002,C0586,E001,G009,3,33.0,30.15,2025-10-23 00:40:44,2026-05-19 16:38:48
48924198,70918,59,P0002,C0555,E005,G006,1,32.0,10.2,2025-10-29 23:37:42,2026-05-19 16:39:25
48925003,71015,59,P0002,C0491,E005,G015,1,32.0,10.2,2025-10-30 11:07:17,2026-05-19 16:39:25
48925957,71130,59,P0002,C0255,E006,G005,3,29.0,31.95,2025-10-30 15:29:07,2026-05-19 16:39:27
48949266,74287,59,P0002,C0547,E001,G002,1,33.0,10.05,2025-11-14 16:22:11,2026-05-19 16:40:36
48949891,74364,59,P0002,C0240,E006,G008,2,31.0,20.7,2025-11-15 11:03:36,2026-05-19 16:40:37
48959009,75654,59,P0002,C0239,E002,G016,2,32.0,20.4,2025-11-21 02:23:38,2026-05-19 16:41:09
48959357,75711,59,P0002,C0278,E002,G022,3,32.0,30.6,2025-11-22 12:39:02,2026-05-19 16:41:11
48963420,76319,59,P0002,C0452,E001,G019,1,31.0,10.35,2025-11-25 12:19:47,2026-05-19 16:41:18
48967824,76902,59,P0002,C0505,E001,G002,2,33.0,20.1,2025-11-27 03:22:59,2026-05-19 16:41:34
48973054,77564,59,P0002,C0449,E001,G002,2,33.0,20.1,2025-12-01 10:36:56,2026-05-19 16:41:51
48982803,78862,59,P0002,C0407,E004,G006,2,33.0,20.1,2025-12-07 16:53:25,2026-05-19 16:42:08
48984408,79075,59,P0002,C0407,E004,G006,2,33.0,20.1,2025-12-08 15:59:06,2026-05-19 16:42:11
48986582,79398,59,P0002,C0302,E002,G017,1,32.0,10.2,2025-12-10 11:18:26,2026-05-19 16:42:14
